Price,Year
865500,01/04/17
362000,01/04/17
651000,01/04/17
711000,01/04/17
920000,01/04/17
706000,01/04/17
,01/04/17
705000,01/04/17
392000,01/04/17
860000,01/04/17
605000,01/04/17
640000,01/04/17
501500,01/04/17
890000,01/04/17
1301000,01/04/17
890000,01/04/17
732000,01/04/17
861800,01/04/17
1600000,01/04/17
,01/04/17
593000,01/04/17
547000,01/04/17
645500,01/04/17
1952000,01/04/17
1175000,01/04/17
1750000,01/04/17
1380000,01/04/17
965000,01/04/17
1310000,01/04/17
1150000,01/04/17
1255000,01/04/17
1351000,01/04/17
580000,01/04/17
745000,01/04/17
576000,01/04/17
517000,01/04/17
525000,01/04/17
1260000,01/04/17
,01/04/17
1651118,01/04/17
1850000,01/04/17
,01/04/17
855000,01/04/17
695000,01/04/17
560000,01/04/17
921000,01/04/17
1390000,01/04/17
730000,01/04/17
700000,01/04/17
452000,01/04/17
720000,01/04/17
975000,01/04/17
930000,01/04/17
315000,01/04/17
1185000,01/04/17
1050000,01/04/17
1700000,01/04/17
1621000,01/04/17
1670000,01/04/17
652000,01/04/17
660000,01/04/17
472500,01/04/17
380000,01/04/17
,01/04/17
1550000,01/04/17
1350000,01/07/17
593000,01/07/17
640000,01/07/17
961000,01/07/17
1535000,01/07/17
570000,01/07/17
2345000,01/07/17
,01/07/17
900000,01/07/17
480000,01/07/17
950000,01/07/17
1225000,01/07/17
1025000,01/07/17
622000,01/07/17
,01/07/17
2160000,01/07/17
640000,01/07/17
1800000,01/07/17
1823000,01/07/17
2000000,01/07/17
1365000,01/07/17
1220000,01/07/17
1095000,01/07/17
1020000,01/07/17
642000,01/07/17
840000,01/07/17
2650000,01/07/17
465000,01/07/17
518500,01/07/17
665000,01/07/17
692000,01/07/17
1305000,01/07/17
,01/07/17
1100000,01/07/17
573000,01/07/17
1060000,01/07/17
805000,01/07/17
682000,01/07/17
510000,01/07/17
535000,01/07/17
1180000,01/07/17
677000,01/07/17
816000,01/07/17
620000,01/07/17
1760000,01/07/17
1091500,01/07/17
1140000,01/07/17
950000,01/07/17
1171000,01/07/17
425000,01/07/17
1116000,01/07/17
1030000,01/07/17
620000,01/07/17
1077000,01/07/17
607000,01/07/17
515500,01/07/17
509500,01/07/17
660000,01/07/17
572000,01/07/17
932000,01/07/17
566100,01/07/17
875000,01/07/17
585000,01/07/17
348000,01/07/17
627000,01/07/17
621000,01/07/17
612000,01/07/17
945000,01/07/17
2705000,01/07/17
818000,01/07/17
530500,01/07/17
,01/07/17
1092000,01/07/17
975000,01/07/17
805000,01/07/17
770000,01/07/17
,01/07/17
425000,01/07/17
437000,01/07/17
660000,01/07/17
1325000,01/07/17
310000,01/07/17
864000,01/07/17
291000,01/07/17
515000,01/07/17
580000,01/07/17
1550000,01/07/17
672000,01/07/17
720000,01/07/17
414000,01/07/17
1852000,01/07/17
1100000,01/07/17
815000,01/07/17
1372000,01/07/17
850500,01/07/17
400000,01/07/17
640000,01/07/17
611000,01/07/17
755000,01/07/17
625000,01/07/17
1910000,01/07/17
523000,01/07/17
1250000,01/07/17
,01/07/17
460000,01/07/17
595000,01/07/17
525000,01/07/17
990000,01/07/17
645000,01/07/17
695000,01/07/17
500000,01/07/17
662500,01/07/17
,01/07/17
1140000,01/07/17
,01/07/17
395000,01/07/17
1000000,01/07/17
450000,01/07/17
2900000,01/07/17
820000,01/07/17
,01/07/17
790000,01/07/17
726500,01/07/17
710000,01/07/17
645000,01/07/17
471000,01/07/17
683000,01/07/17
440000,01/07/17
750000,01/07/17
,01/07/17
,01/07/17
390000,01/07/17
506000,01/07/17
810000,01/07/17
605000,01/07/17
967000,01/07/17
758000,01/07/17
,01/07/17
862000,01/07/17
965000,01/07/17
761000,01/07/17
1020000,01/07/17
750000,01/07/17
635000,01/07/17
410000,01/07/17
880000,01/07/17
597500,01/07/17
640000,01/07/17
520000,01/07/17
895000,01/07/17
,01/07/17
2110000,01/07/17
365000,01/07/17
705000,01/07/17
670000,01/07/17
520500,01/07/17
460000,01/07/17
610000,01/07/17
950000,01/07/17
715000,01/07/17
2320000,01/07/17
2752000,01/07/17
655000,01/07/17
1810000,01/07/17
1020000,01/07/17
1250000,01/07/17
1225000,01/07/17
1205000,01/07/17
1720000,01/07/17
1600000,01/07/17
944000,01/07/17
1385000,01/07/17
1280000,01/07/17
710000,01/07/17
1330000,01/07/17
466500,01/07/17
550000,01/07/17
962000,01/07/17
936000,01/07/17
1605000,01/07/17
1415000,01/07/17
390000,01/07/17
637000,01/07/17
1100000,01/07/17
926000,01/07/17
610000,01/07/17
1525000,01/07/17
,01/07/17
,01/07/17
454000,01/07/17
562000,01/07/17
1000000,01/07/17
985000,01/07/17
820000,01/07/17
1501000,01/07/17
1663000,01/07/17
660000,01/07/17
663500,01/07/17
1631000,01/07/17
1665000,01/07/17
399000,01/07/17
1240000,01/07/17
727500,01/07/17
,01/07/17
965000,01/07/17
2530000,01/07/17
1930000,01/07/17
560000,01/07/17
680500,01/07/17
902000,01/07/17
825000,01/07/17
668500,01/07/17
1165000,01/07/17
,01/07/17
1310000,01/07/17
458000,01/07/17
1442000,01/07/17
560000,01/07/17
1101000,01/07/17
,01/07/17
870000,01/07/17
420000,01/07/17
643500,01/07/17
625000,01/07/17
610000,01/07/17
565000,01/07/17
572000,01/07/17
1090000,01/07/17
750000,01/07/17
1030000,01/07/17
386000,01/07/17
857000,01/07/17
1160000,01/07/17
,01/07/17
1235000,01/07/17
752500,01/07/17
565000,01/07/17
801000,01/07/17
525000,01/07/17
646000,01/07/17
635500,01/07/17
580000,01/07/17
413000,01/07/17
420000,01/07/17
650000,01/07/17
525000,01/07/17
765000,01/07/17
1385000,01/07/17
417000,01/07/17
451500,01/07/17
526000,01/07/17
605500,01/07/17
427500,01/07/17
542000,01/07/17
2800000,01/07/17
821000,01/07/17
917000,01/07/17
1115000,01/07/17
,01/07/17
510000,01/07/17
645000,01/07/17
427000,01/07/17
600000,01/07/17
355000,01/07/17
876000,01/07/17
578000,01/07/17
510000,01/07/17
390000,01/07/17
525000,01/07/17
480000,01/07/17
471100,01/07/17
507000,03/06/17
845000,03/06/17
1250000,03/06/17
905000,03/06/17
1026000,03/06/17
850000,03/06/17
2905000,03/06/17
1380000,03/06/17
2120000,03/06/17
2015000,03/06/17
787000,03/06/17
2220000,03/06/17
415000,03/06/17
826000,03/06/17
585000,03/06/17
700500,03/06/17
2385000,03/06/17
4100000,03/06/17
1655000,03/06/17
1800000,03/06/17
2405000,03/06/17
1385000,03/06/17
945000,03/06/17
290000,03/06/17
1810000,03/06/17
,03/06/17
1593000,03/06/17
1310000,03/06/17
930000,03/06/17
700000,03/06/17
860000,03/06/17
1470000,03/06/17
930000,03/06/17
1500000,03/06/17
1580000,03/06/17
,03/06/17
935000,03/06/17
,03/06/17
1620000,03/06/17
1580000,03/06/17
1315000,03/06/17
1590000,03/06/17
2520000,03/06/17
1695000,03/06/17
1581000,03/06/17
836000,03/06/17
637000,03/06/17
1336000,03/06/17
,03/06/17
1935000,03/06/17
2250000,03/06/17
897000,03/06/17
,03/06/17
890000,03/06/17
1315000,03/06/17
730000,03/06/17
300000,03/06/17
920000,03/06/17
570000,03/06/17
1010000,03/06/17
1105000,03/06/17
1325000,03/06/17
1160000,03/06/17
1320000,03/06/17
750000,03/06/17
780000,03/06/17
620000,03/06/17
,03/06/17
700000,03/06/17
1032000,03/06/17
1041000,03/06/17
2960000,03/06/17
3050000,03/06/17
1171000,03/06/17
1501000,03/06/17
1570000,03/06/17
1275000,03/06/17
1181000,03/06/17
1435000,03/06/17
350000,03/06/17
600000,03/06/17
529000,03/06/17
881000,03/06/17
665000,03/06/17
674000,03/06/17
840000,03/06/17
598000,03/06/17
745000,03/06/17
740000,03/06/17
1480000,03/06/17
1240000,03/06/17
850000,03/06/17
840000,03/06/17
,03/06/17
880000,03/06/17
1525000,03/06/17
960000,03/06/17
1600000,03/06/17
867000,03/06/17
690000,03/06/17
561000,03/06/17
725000,03/06/17
675500,03/06/17
465000,03/06/17
667000,03/06/17
877500,03/06/17
730000,03/06/17
,03/06/17
535000,03/06/17
678000,03/06/17
595000,03/06/17
816000,03/06/17
1370000,03/06/17
882000,03/06/17
1760000,03/06/17
1662000,03/06/17
716000,03/06/17
975000,03/06/17
842000,03/06/17
480000,03/06/17
696750,03/06/17
652500,03/06/17
540000,03/06/17
555000,03/06/17
620000,03/06/17
598000,03/06/17
556000,03/06/17
650000,03/06/17
762000,03/06/17
1025000,03/06/17
1360000,03/06/17
1320000,03/06/17
,03/06/17
786000,03/06/17
2210000,03/06/17
1520000,03/06/17
806000,03/06/17
1200000,03/06/17
700000,03/06/17
712000,03/06/17
775000,03/06/17
821000,03/06/17
663500,03/06/17
805000,03/06/17
,03/06/17
,03/06/17
,03/06/17
1290000,03/06/17
2268000,03/06/17
605000,03/06/17
764000,03/06/17
650000,03/06/17
495000,03/06/17
700000,03/06/17
,03/06/17
,03/06/17
1890000,03/06/17
1750000,03/06/17
1100000,03/06/17
,03/06/17
695000,03/06/17
817000,03/06/17
760000,03/06/17
680000,03/06/17
1170000,03/06/17
731000,03/06/17
827000,03/06/17
627000,03/06/17
680000,03/06/17
690000,03/06/17
1022000,03/06/17
5510000,03/06/17
3335000,03/06/17
560000,03/06/17
970000,03/06/17
1790000,03/06/17
805000,03/06/17
1875000,03/06/17
2320000,03/06/17
1237000,03/06/17
1465000,03/06/17
850000,03/06/17
520000,03/06/17
530000,03/06/17
515000,03/06/17
1305000,03/06/17
555500,03/06/17
460000,03/06/17
,03/06/17
770000,03/06/17
1000000,03/06/17
910000,03/06/17
535000,03/06/17
855000,03/06/17
,03/06/17
630000,03/06/17
942000,03/06/17
912500,03/06/17
515000,03/06/17
672000,03/06/17
,03/06/17
1280000,03/06/17
2162000,03/06/17
,03/06/17
2260000,03/06/17
745000,03/06/17
521000,03/06/17
1081000,03/06/17
795000,03/06/17
740000,03/06/17
910000,03/06/17
,03/06/17
592000,03/06/17
,03/06/17
455000,03/06/17
2355000,03/06/17
,03/06/17
2265000,03/06/17
,03/06/17
1780000,03/06/17
585000,03/06/17
940000,03/06/17
400000,03/06/17
355000,03/06/17
355000,03/06/17
885000,03/06/17
487500,03/06/17
2010000,03/06/17
732000,03/06/17
720000,03/06/17
556500,03/06/17
566000,03/06/17
569000,03/06/17
,03/06/17
1100000,03/06/17
1090500,03/06/17
519000,03/06/17
1170000,03/06/17
720000,03/06/17
572000,03/06/17
1350000,03/06/17
855000,03/06/17
1011000,03/06/17
1450000,03/06/17
960000,03/06/17
750000,03/06/17
1256000,03/06/17
330000,03/06/17
602000,03/06/17
1337000,03/06/17
970000,03/06/17
1232000,03/06/17
1200000,03/06/17
460000,03/06/17
870000,03/06/17
1245000,03/06/17
1114000,03/06/17
740000,03/06/17
1120000,03/06/17
945000,03/06/17
1770000,03/06/17
,03/06/17
630000,03/06/17
,03/06/17
716500,03/06/17
625000,03/06/17
329000,03/06/17
,03/06/17
,03/06/17
930000,03/06/17
881000,03/06/17
660000,03/06/17
945000,03/06/17
1210000,03/06/17
970000,03/06/17
725000,03/06/17
,03/06/17
990000,03/06/17
972500,03/06/17
955000,03/06/17
1100000,03/06/17
,03/06/17
1266000,03/06/17
1040000,03/06/17
625000,03/06/17
751000,03/06/17
888000,03/06/17
521000,03/06/17
423750,03/06/17
642500,03/06/17
1676000,03/06/17
1400000,03/06/17
1301000,03/06/17
575000,03/06/17
,03/06/17
910000,03/06/17
1200000,03/06/17
1080000,03/06/17
1005000,03/06/17
,03/06/17
675000,03/06/17
622000,03/06/17
425000,03/06/17
2300000,03/06/17
516000,03/06/17
2221000,03/06/17
540000,03/06/17
1360000,03/06/17
790000,03/06/17
805000,03/06/17
915000,03/06/17
644000,03/06/17
905000,03/06/17
647000,03/06/17
2210000,03/06/17
805000,03/06/17
765000,03/06/17
422000,03/06/17
,03/06/17
2005000,03/06/17
586500,03/06/17
451000,03/06/17
1780000,03/06/17
790000,03/06/17
455000,03/06/17
635000,03/06/17
775000,03/06/17
690500,03/06/17
790500,03/06/17
805000,03/06/17
1156000,03/06/17
1350000,03/06/17
710000,03/06/17
1010000,03/06/17
653000,03/06/17
740000,03/06/17
493000,03/06/17
1240000,03/06/17
1626000,03/06/17
,03/06/17
682000,03/06/17
355000,03/06/17
1270000,03/06/17
975000,03/06/17
1200000,03/06/17
,03/06/17
1140000,03/06/17
562000,03/06/17
467000,03/06/17
302500,03/06/17
390000,03/06/17
460000,03/06/17
1100000,03/06/17
792000,03/06/17
1171000,03/06/17
1408000,03/06/17
1494000,03/06/17
2760000,03/06/17
1285000,03/06/17
1900000,03/06/17
950000,03/06/17
745000,03/06/17
562000,03/06/17
627000,03/06/17
1670000,03/06/17
950000,03/06/17
1225000,03/06/17
1436000,03/09/17
421000,03/09/17
1910000,03/09/17
905000,03/09/17
1680000,03/09/17
913000,03/09/17
5100000,03/09/17
820000,03/09/17
1330000,03/09/17
1160000,03/09/17
985000,03/09/17
877000,03/09/17
1130000,03/09/17
985000,03/09/17
,03/09/17
695000,03/09/17
905000,03/09/17
870000,03/09/17
,03/09/17
1485000,03/09/17
,03/09/17
1005000,03/09/17
,03/09/17
1951000,03/09/17
1950000,03/09/17
824000,03/09/17
1375000,03/09/17
1630000,03/09/17
2310000,03/09/17
1660000,03/09/17
1330000,03/09/17
1216000,03/09/17
1138000,03/09/17
1575000,03/09/17
1065000,03/09/17
1140000,03/09/17
827000,03/09/17
,03/09/17
,03/09/17
1160000,03/09/17
1375000,03/09/17
2831000,03/09/17
610000,03/09/17
617000,03/09/17
4125000,03/09/17
2515000,03/09/17
817500,03/09/17
1590000,03/09/17
1775000,03/09/17
673000,03/09/17
1200000,03/09/17
515000,03/09/17
,03/09/17
1023000,03/09/17
755000,03/09/17
,03/09/17
650000,03/09/17
680000,03/09/17
670000,03/09/17
814000,03/09/17
930000,03/09/17
4060000,03/09/17
1455000,03/09/17
692500,03/09/17
,03/09/17
615000,03/09/17
,03/09/17
,03/09/17
1333000,03/09/17
,03/09/17
645000,03/09/17
1609000,03/09/17
985000,03/09/17
1131000,03/09/17
721000,03/09/17
960000,03/09/17
1295000,03/09/17
1436000,03/09/17
1020000,03/09/17
1055000,03/09/17
1210000,03/09/17
631000,03/09/17
457000,03/09/17
505000,03/09/17
497500,03/09/17
,03/09/17
1005000,03/09/17
790000,03/09/17
931000,03/09/17
857000,03/09/17
477000,03/09/17
500000,03/09/17
510000,03/09/17
610000,03/09/17
585000,03/09/17
850000,03/09/17
955000,03/09/17
1375000,03/09/17
1820000,03/09/17
1482000,03/09/17
1050000,03/09/17
1175000,03/09/17
937000,03/09/17
1381000,03/09/17
920000,03/09/17
1701000,03/09/17
1620000,03/09/17
1171000,03/09/17
555000,03/09/17
500500,03/09/17
,03/09/17
,03/09/17
660000,03/09/17
,03/09/17
613000,03/09/17
620000,03/09/17
652000,03/09/17
599500,03/09/17
569000,03/09/17
582000,03/09/17
1185000,03/09/17
1210000,03/09/17
900000,03/09/17
1500000,03/09/17
1260000,03/09/17
801000,03/09/17
1492000,03/09/17
746500,03/09/17
760000,03/09/17
2300000,03/09/17
630000,03/09/17
905000,03/09/17
2136000,03/09/17
1090000,03/09/17
530000,03/09/17
770000,03/09/17
695000,03/09/17
938000,03/09/17
485000,03/09/17
1155000,03/09/17
1905000,03/09/17
680000,03/09/17
670000,03/09/17
782500,03/09/17
1910000,03/09/17
1850000,03/09/17
2152500,03/09/17
,03/09/17
1160000,03/09/17
791000,03/09/17
1370000,03/09/17
1026000,03/09/17
815000,03/09/17
880000,03/09/17
835000,03/09/17
830000,03/09/17
675000,03/09/17
599000,03/09/17
,03/09/17
,03/09/17
585000,03/09/17
895000,03/09/17
797000,03/09/17
685000,03/09/17
543500,03/09/17
2675000,03/09/17
1990000,03/09/17
2499000,03/09/17
2260000,03/09/17
1900000,03/09/17
,03/09/17
,03/09/17
685000,03/09/17
921000,03/09/17
1450000,03/09/17
604000,03/09/17
864000,03/09/17
832000,03/09/17
600500,03/09/17
465000,03/09/17
682000,03/09/17
1080000,03/09/17
1010000,03/09/17
950000,03/09/17
535000,03/09/17
3060000,03/09/17
1690000,03/09/17
3400000,03/09/17
,03/09/17
,03/09/17
762000,03/09/17
593000,03/09/17
,03/09/17
1140000,03/09/17
685000,03/09/17
715000,03/09/17
685500,03/09/17
564000,03/09/17
725000,03/09/17
722000,03/09/17
,03/09/17
2210000,03/09/17
1002000,03/09/17
1430000,03/09/17
,03/09/17
983000,03/09/17
460000,03/09/17
855000,03/09/17
560000,03/09/17
482000,03/09/17
460000,03/09/17
370000,03/09/17
430000,03/09/17
438000,03/09/17
960500,03/09/17
840000,03/09/17
570000,03/09/17
545000,03/09/17
1041000,03/09/17
450000,03/09/17
1720000,03/09/17
1450000,03/09/17
1188000,03/09/17
1460000,03/09/17
650000,03/09/17
1105000,03/09/17
755000,03/09/17
515500,03/09/17
1280000,03/09/17
761000,03/09/17
690000,03/09/17
1630000,03/09/17
1370000,03/09/17
1215000,03/09/17
1425000,03/09/17
1550000,03/09/17
1386000,03/09/17
1700000,03/09/17
1254000,03/09/17
795000,03/09/17
,03/09/17
683500,03/09/17
865000,03/09/17
1320000,03/09/17
930000,03/09/17
672000,03/09/17
676000,03/09/17
1010000,03/09/17
540000,03/09/17
599000,03/09/17
782500,03/09/17
3775000,03/09/17
1764000,03/09/17
2325000,03/09/17
1420000,03/09/17
417500,03/09/17
640000,03/09/17
,03/09/17
725000,03/09/17
861000,03/09/17
612500,03/09/17
906000,03/09/17
758000,03/09/17
601000,03/09/17
880000,03/09/17
523000,03/09/17
762000,03/09/17
1695000,03/09/17
1480000,03/09/17
,03/09/17
2368000,03/09/17
1380000,03/09/17
575000,03/09/17
1755000,03/09/17
926000,03/09/17
1120000,03/09/17
575000,03/09/17
1165000,03/09/17
655000,03/09/17
985000,03/09/17
376000,03/09/17
570000,03/09/17
515000,03/09/17
1875000,03/09/17
1137000,03/09/17
1750000,03/09/17
1080000,03/09/17
645000,03/09/17
570000,03/09/17
540000,03/09/17
482000,03/09/17
662000,03/09/17
640000,03/09/17
732500,03/09/17
554000,03/09/17
780000,03/09/17
713500,03/09/17
2170000,03/09/17
800000,03/09/17
705000,03/09/17
965000,03/09/17
1530000,03/09/17
,03/09/17
1375000,03/09/17
735000,03/09/17
595000,03/09/17
620000,03/09/17
782000,03/09/17
533000,03/09/17
1203000,03/09/17
768000,03/09/17
1185000,03/09/17
,03/09/17
1420000,03/09/17
856000,03/09/17
902000,03/09/17
,03/09/17
555000,03/09/17
630000,03/09/17
490500,03/09/17
430000,03/09/17
510000,03/09/17
1460000,03/09/17
705000,03/09/17
