Price,Year
1325000,03/09/2016
1400000,03/09/2016
1535000,03/09/2016
665000,03/09/2016
700000,03/09/2016
1000000,03/09/2016
1165000,03/09/2016
1480000,03/12/2016
380000,03/12/2016
1525000,03/12/2016
565000,03/12/2016
995000,03/12/2016
1205000,03/12/2016
,03/12/2016
2675000,03/12/2016
1939000,03/12/2016
421500,03/12/2016
940000,03/12/2016
,03/12/2016
1670000,03/12/2016
955000,03/12/2016
2050000,03/12/2016
1250000,03/12/2016
,03/12/2016
1230000,03/12/2016
630000,03/12/2016
610000,03/12/2016
851000,03/12/2016
2200000,03/12/2016
2200000,03/12/2016
806000,03/12/2016
1215000,03/12/2016
1905000,03/12/2016
2251000,03/12/2016
,03/12/2016
2160000,03/12/2016
1265000,03/12/2016
850000,03/12/2016
,03/12/2016
970000,03/12/2016
1640000,03/12/2016
1500000,03/12/2016
1400000,03/12/2016
1550000,03/12/2016
1420000,03/12/2016
1425000,03/12/2016
851000,03/12/2016
746000,03/12/2016
580000,03/12/2016
1200000,03/12/2016
515000,03/12/2016
1206000,03/12/2016
2370000,03/12/2016
2035000,03/12/2016
1835000,03/12/2016
2105000,03/12/2016
755000,03/12/2016
1240000,03/12/2016
1261000,03/12/2016
1000000,03/12/2016
1155000,03/12/2016
600000,03/12/2016
725000,03/12/2016
,03/12/2016
710000,03/12/2016
,03/12/2016
1830000,03/12/2016
3695000,03/12/2016
,03/12/2016
3700000,03/12/2016
3775000,03/12/2016
1975000,03/12/2016
1465000,03/12/2016
,03/12/2016
2504000,03/12/2016
482000,03/12/2016
1802500,03/12/2016
1310000,03/12/2016
856000,03/12/2016
1190000,03/12/2016
1505000,03/12/2016
790000,03/12/2016
746000,03/12/2016
505000,03/12/2016
631000,03/12/2016
735000,03/12/2016
675000,03/12/2016
693000,03/12/2016
589000,03/12/2016
330000,03/12/2016
1088000,03/12/2016
780000,03/12/2016
792000,03/12/2016
485000,03/12/2016
1390000,03/12/2016
1890000,03/12/2016
1022500,03/12/2016
1290000,03/12/2016
1345000,03/12/2016
730000,03/12/2016
566000,03/12/2016
,03/12/2016
1017000,03/12/2016
729000,03/12/2016
,03/12/2016
1650000,03/12/2016
415000,03/12/2016
455000,03/12/2016
,03/12/2016
1587500,03/12/2016
,03/12/2016
,03/12/2016
,03/12/2016
1295000,03/12/2016
1275000,03/12/2016
1620000,03/12/2016
725000,03/12/2016
600000,03/12/2016
1665000,03/12/2016
1460000,03/12/2016
,03/12/2016
,03/12/2016
1507000,03/12/2016
385000,03/12/2016
716000,03/12/2016
910000,03/12/2016
642500,03/12/2016
751000,03/12/2016
912500,03/12/2016
1050000,03/12/2016
1080000,03/12/2016
595000,03/12/2016
1250000,03/12/2016
,03/12/2016
