Suburb,Year,Price
WEST FOOTSCRAY,2018,875000
WEST MELBOURNE,2018,1370000
WEST WODONGA,2018,322000
WESTALL,2018,800000
WESTGARTH,2018,1707500
WESTMEADOWS,2018,620000
WHEELERS HILL,2018,1118500
WHITE HILLS,2018,313500
WHITTINGTON,2018,395000
WHITTLESEA,2018,577500
WILLIAMS LANDING,2018,685000
WILLIAMSTOWN,2018,1415000
WILLIAMSTOWN NORTH,2018,860000
WIMBLEDON HEIGHTS,2018,410000
WINCHELSEA,2018,391000
WINDSOR,2018,1422500
WINTER VALLEY,2018,405000
WODONGA,2018,350000
WOLLERT,2018,550000
WONGA PARK,2018,1150000
WONTHAGGI,2018,339000
WOODEND,2018,665000
WOOLAMAI WATERS,2018,469500
WOORI YALLOCK,2018,520000
WURRUK,2018,310000
WY YUNG,2018,315000
WYCHEPROOF,2018,124500
WYNDHAM VALE,2018,480000
YACKANDANDAH,2018,472500
YALLAMBIE,2018,810000
YALLOURN NORTH,2018,172000
YARRA GLEN,2018,670000
YARRA JUNCTION,2018,562500
YARRAGON,2018,390000
YARRAM,2018,218000
YARRAVILLE,2018,1045000
YARRAWONGA,2018,345000
YEA,2018,392500
YINNAR,2018,245000
